Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch
6,battaramulla,12,per perch,"Commercial, Residential",9/21/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 3,800,000.00 "," 3,800,000.00 "
12,nawala,22,per perch,"Commercial, Residential",9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 6,500,000.00 "," 6,500,000.00 "
16,mount lavinia,23,per perch,Residential,9/21/2021,12.89,0,2.727171086,5,0.191582432,2,0.581298364,0,2.842966318,0,2.847591288,12.64244388,0.528389071,0.028453853,12,0.323762423,5,3.90721302,0,4.077519439,0,1.188857545,2,0.113299872,20,1.052875673,5," 2,600,000.00 "," 2,600,000.00 "
126,divulpitiya,16.05,per perch,"Commercial, Residential",9/21/2021,12.60,0,2.631804683,2,1.238950839,2,1.496635067,0,2.434278278,1,0.986116289,9.697738198,1.97051461,1.328255911,20,1.368773736,4,2.883591336,0,4.266219124,0,0.585909004,1,0.315817967,19,0.52322427,3," 3,700,000.00 "," 3,700,000.00 "
53,kollupitiya,6.8,per perch,Residential,9/21/2021,4.22,3,0.838322668,8,0.113577365,9,0.299523109,2,1.342131195,2,1.467277947,5.676326993,0.379336786,0.083896065,46,0.167802729,13,1.459288188,3,0.744991077,4,1.39404292,2,0.234180842,17,0.836102939,4," 85,000,000.00 "," 85,000,000.00 "
12,nawala,22,per perch,"Commercial, Residential",9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 6,500,000.00 "," 6,500,000.00 "
25,pannipitiya,8,per perch,Residential,9/21/2021,17.26,1,1.894473477,4,0.432119928,1,0.50546396,0,5.654085217,0,3.092683935,3.716698378,0.089601941,0.104367405,10,1.576947013,2,3.5205116,0,1.382254786,1,2.364927512,0,0.685837638,5,0.917733437,2," 1,650,000.00 "," 1,650,000.00 "
22,hokandara,11,total price,Residential,9/21/2021,16.39,0,4.673446369,1,0.386004477,0,4.412525038,0,3.890750378,0,3.876604793,1.871289347,3.876447241,0.024556017,1,2.28896203,0,4.937735081,0,2.968546848,0,4.563301923,0,1.187704419,5,0.074058786,1," 1,200,000.00 "," 109,090.91 "
6,battaramulla,20,per perch,Residential,9/21/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 6,000,000.00 "," 6,000,000.00 "
111,korathota,8,total price,Residential,9/21/2021,19.72,0,9.373585776,1,0.751004927,0,8.04563325,0,4.416684153,0,3.346328059,2.59671565,7.635108885,2.258348808,0,2.594123027,0,6.762836134,0,8.497998337,0,3.181837084,0,2.126974979,0,2.345781881,0," 3,200,000.00 "," 400,000.00 "
