Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch,latitude,longitude,bakery_count,bakery_mdist,bank_count,bank_mdist,bar_count,bar_mdist,bus_station_count,bus_station_mdist,clothing_store_count,clothing_store_mdist,doctor_count,doctor_mdist,gas_station_count,gas_station_mdist,gym_count,gym_mdist,hospital_count,hospital_mdist,university_count,university_mdist,train_station_count,train_station_mdist,supermarket_count,supermarket_mdist,store_count,store_mdist,school_count,school_mdist,restaurant_count,restaurant_mdist,police_count,police_mdist,post_office_count,post_office_mdist,pharmacy_count,pharmacy_mdist,movie_theater_count,movie_theater_mdist,library_count,library_mdist
12,nawala,22.0,per perch,"Commercial, Residential",9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 6,500,000.00 "," 6,500,000.00 ",6.89952710239278,79.88391455548782,16,1089,11,1681,2,1217,2,1826,20,1093,9,1095,2,687,10,1359,20,1703,8,2735,1,1575,9,1018,20,1501,20,1235,20,1722,1,1115,0,0,10,1899,1,1541,2,1425
16,mount lavinia,23.0,per perch,Residential,9/21/2021,12.89,0,2.727171086,5,0.191582432,2,0.581298364,0,2.842966318,0,2.847591288,12.64244388,0.528389071,0.028453853,12,0.323762423,5,3.90721302,0,4.077519439,0,1.188857545,2,0.113299872,20,1.052875673,5," 2,600,000.00 "," 2,600,000.00 ",6.809736793679399,79.87131897662493,12,1965,4,488,0,0,0,0,20,657,1,1493,0,0,3,1244,6,208,8,313,1,2658,1,808,20,23,19,48,20,619,1,1642,3,1177,2,1751,0,0,0,0
12,nawala,22.0,per perch,"Commercial, Residential",9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 6,500,000.00 "," 6,500,000.00 ",6.897027292399794,79.88494655630836,20,837,11,571,3,965,2,1574,20,841,9,844,2,435,10,1107,20,575,9,553,1,1324,8,767,20,619,20,982,20,639,1,864,0,0,10,1648,1,1290,2,1173
22,hokandara,11.0,total price,Residential,9/21/2021,16.39,0,4.673446369,1,0.386004477,0,4.412525038,0,3.890750378,0,3.876604793,1.871289347,3.876447241,0.024556017,1,2.28896203,0,4.937735081,0,2.968546848,0,4.563301923,0,1.187704419,5,0.074058786,1," 1,200,000.00 "," 109,090.91 ",6.884656409047457,79.95325316679633,20,457,2,1111,1,1382,0,0,14,166,5,608,1,1161,1,750,4,449,1,977,0,0,6,973,20,96,12,323,20,515,0,0,0,0,1,1045,0,0,0,0
6,battaramulla,20.0,per perch,Residential,9/21/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 6,000,000.00 "," 6,000,000.00 ",6.903294586487877,79.91305476384154,20,1220,17,1138,4,1527,1,1928,20,1362,8,1153,3,558,9,1232,13,467,10,2956,0,0,5,527,20,1336,20,1339,20,20,3,1318,4,411,9,1953,0,0,3,1676
12,nawala,6.75,total price,Residential,9/21/2021,9.16,2,1.530830351,12,0.863357361,1,0.906167186,4,1.598612124,1,0.668115654,7.480199518,0.647482412,0.047406525,38,0.491287095,7,2.580394067,0,0.885503165,5,2.1024983,0,0.229319769,17,1.221395666,4," 35,000,000.00 "," 5,185,185.19 ",6.900610517902416,79.89437266342844,20,48,5,178,3,1006,2,931,20,160,10,248,0,0,9,38,8,217,13,34,0,0,7,436,20,181,20,38,20,151,1,1286,2,416,8,53,3,734,3,851
3,kaduwela,20.0,per perch,Residential,9/21/2021,17.66,0,10.99800654,2,0.686801718,0,10.30164488,0,3.09405539,0,2.766675534,1.341754436,9.982145833,0.351838973,8,0.25650097,5,4.96489541,0,8.245114297,0,0.271561131,1,0.22296895,5,0.044349224,1," 1,200,000.00 "," 1,200,000.00 ",6.932291049602579,79.97646686103015,17,261,14,793,1,1754,1,1472,20,1014,4,208,6,1105,9,910,10,801,0,0,0,0,9,205,20,162,20,117,20,503,2,13241,1,1935,11,950,1,1764,1,2401
10,thalawathugoda,15.5,total price,Residential,9/21/2021,14.19,0,3.947032227,1,1.741784529,0,3.685223074,0,2.039184201,0,4.333994379,4.620078445,3.239812649,0.047187666,14,0.311696409,1,4.725443891,0,0.346662018,1,2.60600085,0,0.207307327,9,1.832361316,1," 34,100,000.00 "," 2,200,000.00 ",6.876957151989097,79.9322242867709,20,85,10,633,7,484,0,0,20,103,6,279,2,3019,11,776,19,150,6,381,0,0,6,457,20,401,20,1567,20,180,0,0,2,1863,11,385,1,846,1,1346
17,athurugiriya,10.0,per perch,Residential,9/21/2021,19.59,0,5.178703496,1,0.359088591,0,3.821033403,0,5.651112943,0,4.65088748,1.626447486,3.488327488,0.0702284,6,0.500564858,1,3.316285276,0,6.28108122,0,4.110603517,0,0.225418134,4,0.132466919,1," 675,000.00 "," 675,000.00 ",6.870699980625857,80.00581105502755,13,164,2,1186,1,1874,0,0,16,449,3,1800,3,1562,1,1269,4,1387,0,0,0,0,2,1802,20,164,12,192,20,1927,0,0,0,0,5,1867,0,0,0,0
6,battaramulla,10.0,per perch,"Commercial, Residential, Other",9/21/2021,11.35,0,3.099785658,3,0.190254107,0,3.899164939,1,1.322045762,0,3.232578915,6.632045539,4.07247222,0.046516086,15,0.115221781,3,2.30456467,0,2.966136151,0,0.184195569,2,0.275528356,11,1.185148304,2," 2,500,000.00 "," 2,500,000.00 ",6.898220877038345,79.91663274021016,20,259,19,609,3,1000,1,706,20,60,12,275,2,1358,7,420,12,546,9,852,0,0,7,598,20,727,20,26,20,145,4,367,5,909,8,731,0,0,3,3
