Address_ID,Address,Land_size(Perches),Price_Scale,Land_type,Posted_Date_new,Distance from fort,count_govtschools_A,min_dist_govtschools_a,count_govtschools_B,min_dist_govtschools_b,count_semigovtschools,min_dist_semigovtschools,count_intlschools,min_dist_intlschools,count_uni,min_dist_uni,min_dist_nearest_express,min_dist_nearest_railway,min_dist_nearest_bank,count_banks_within_2km,min_dist_nearest_FinanceCompany,count_FinanceCompanies_within_2km,min_dist_nearest_Govt_Hospital,count_Govt_Hospitals,min_dist_nearest_Pvt_Hospital,count_Pvt_Hospital,min_dist_nearest_Pvt_Med_center,count_Pvt_Med_Centers,min_dist_nearest_Supermarket,count_Supermarkets_within2km,min_dist_nearest_Fuel_station,count_Fuel_Stations_within2km,Mentioned Price(Rs),Price per Perch,latitude,longitude,bakery_count,bakery_mdist,bank_count,bank_mdist,bar_count,bar_mdist,bus_station_count,bus_station_mdist,clothing_store_count,clothing_store_mdist,doctor_count,doctor_mdist,gas_station_count,gas_station_mdist,gym_count,gym_mdist,hospital_count,hospital_mdist,university_count,university_mdist,train_station_count,train_station_mdist,supermarket_count,supermarket_mdist,store_count,store_mdist,school_count,school_mdist,restaurant_count,restaurant_mdist,police_count,police_mdist,post_office_count,post_office_mdist,pharmacy_count,pharmacy_mdist,movie_theater_count,movie_theater_mdist,library_count,library_mdist
7,malabe,10.2,per perch,Residential,9/5/2021,14.94,0,6.499677557,3,0.069944374,0,6.892376061,1,1.87887716,3,1.325521262,3.332054051,6.321523914,0.125554587,9,0.006866358,2,2.768051459,0,3.69256257,0,3.801017223,0,0.297162444,10,0.3277186,2," 1,025,000.00 "," 1,025,000.00 ",6.903271570232103,79.94876266085923,20,320,16,807,2,908,0,0,20,220,9,921,2,739,6,264,12,1062,1,1379,0,0,13,396,20,668,20,304,20,570,0,0,1,1114,8,909,1,1341,1,577
4,kesbewa,6.5,per perch,"Commercial, Residential",9/5/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 870,000.00 "," 870,000.00 ",6.774392385659523,79.94218679882057,16,584,3,858,1,3106,12,61,16,560,2,739,0,0,2,692,8,659,1,992,0,0,1,1338,20,515,7,501,14,939,0,0,0,0,3,1105,0,0,0,0
16,mount lavinia,25.0,per perch,"Commercial, Residential, Other",9/5/2021,12.89,0,2.727171086,5,0.191582432,2,0.581298364,0,2.842966318,0,2.847591288,12.64244388,0.528389071,0.028453853,12,0.323762423,5,3.90721302,0,4.077519439,0,1.188857545,2,0.113299872,20,1.052875673,5," 2,550,000.00 "," 2,550,000.00 ",6.853464603247249,79.8811813378924,20,507,4,599,1,1289,0,0,20,702,10,802,2,545,8,650,13,429,7,516,0,0,10,257,20,356,20,101,20,277,1,1056,2,505,13,454,0,0,0,0
2,makandana,7.3,total price,"Commercial, Residential",9/5/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 6,401,500.00 "," 876,917.81 ",6.7681311657324414,79.95286179311799,6,1358,0,0,1,1097,9,111,2,1427,2,1017,0,0,0,0,2,3987,1,2039,0,0,1,1350,20,83,5,2042,8,590,0,0,0,0,1,1390,0,0,0,0
5,piliyandala,9.8,total price,"Commercial, Residential",9/5/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 9,155,000.00 "," 934,183.67 ",6.78599342663011,79.96240396993677,15,203,1,852,0,0,2,1363,10,1822,0,0,1,261,1,403,8,106,2,770,0,0,2,387,20,206,16,1645,14,2049,0,0,1,331,3,298,0,0,1,354
5,piliyandala,12.25,total price,"Commercial, Residential, Other",9/5/2021,18.85,0,3.819412539,3,0.364496008,0,4.687850894,0,8.734721412,0,2.75753304,6.672114016,5.148238391,0.144675834,8,0.10170684,4,3.948000811,0,0.115702883,1,0.338692207,1,0.49262073,12,0.048597652,2," 19,950,000.00 "," 1,628,571.43 ",6.79117889464886,79.91989195010214,20,429,0,0,0,0,20,940,20,834,2,2044,0,0,6,1122,12,924,2,1593,0,0,3,1213,20,1095,20,262,20,256,0,0,1,2501,4,651,0,0,2,1682
2,makandana,6.6,total price,Residential,9/5/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 5,763,500.00 "," 873,257.58 ",6.784568643402088,79.95162164568428,19,362,3,719,2,1742,11,689,19,91,3,438,0,0,2,1404,6,968,1,329,0,0,2,2123,20,74,14,351,20,1378,0,0,1,1306,7,872,0,0,0,0
4,kesbewa,6.0,per perch,Residential,9/5/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 900,000.00 "," 900,000.00 ",6.790273558878647,79.94437871048468,20,187,3,2079,5,1446,9,1768,20,221,4,1488,4,1315,9,567,12,1476,1,1098,0,0,7,743,20,5,16,1594,20,1751,0,0,2,1311,10,1436,0,0,2,1215
21,maharagama,6.0,total price,Residential,9/5/2021,15.34,0,4.222294805,4,0.369010476,1,0.382122379,0,5.026014326,0,2.696064051,6.132844101,0.105448493,0.204660942,10,0.286628589,4,1.451908281,1,2.904116106,0,3.275002357,0,0.52902818,12,0.218559789,3," 7,500,000.00 "," 1,250,000.00 ",6.845633003674213,79.92223109985703,20,234,20,1060,7,525,4,391,20,186,15,203,3,446,11,242,20,1326,7,1260,2,1704,12,407,20,698,20,167,20,487,1,1202,2,914,20,581,3,496,3,1174
4,kesbewa,6.5,per perch,Residential,9/5/2021,21.21,0,4.146354948,3,1.191395803,0,6.06056331,0,11.10565378,0,4.001993712,5.27731528,5.682614182,1.481078738,5,2.032313981,0,4.512436054,0,2.319756239,0,2.70435644,0,1.358658138,7,1.820113651,1," 895,000.00 "," 895,000.00 ",6.781762537697253,79.93149541349872,8,692,1,1626,0,0,14,746,20,38,3,1314,0,0,6,1022,9,1002,1,1690,0,0,0,0,20,38,13,835,20,665,0,0,0,0,3,1379,0,0,0,0
1,ranala,9.6,total price,"Commercial, Residential, Other",9/5/2021,23.32,0,11.68124247,0,3.699442392,0,8.071884081,0,8.062804667,0,7.028561387,6.124351023,7.643558956,1.844832933,1,4.853199972,0,9.156112966,0,10.52137029,0,5.970519662,0,1.969323048,1,1.735535589,1," 4,200,000.00 "," 437,500.00 ",6.917966989664492,80.02154420189773,6,798,2,537,0,0,0,0,9,1399,1,699,1,1100,1,1255,6,798,0,0,0,0,1,1119,20,151,5,398,13,798,1,1109,1,1047,3,1122,1,819,0,0
3,kaduwela,9.6,per perch,Residential,9/5/2021,17.66,0,10.99800654,2,0.686801718,0,10.30164488,0,3.09405539,0,2.766675534,1.341754436,9.982145833,0.351838973,8,0.25650097,5,4.96489541,0,8.245114297,0,0.271561131,1,0.22296895,5,0.044349224,1," 450,000.00 "," 450,000.00 ",6.939031893768908,79.98130629912426,20,405,12,134,3,927,1,369,20,234,3,936,3,202,9,186,9,139,0,0,0,0,13,255,20,2036,20,2015,20,2094,0,0,2,832,10,332,2,661,1,751
22,hokandara,11.5,total price,Residential,9/5/2021,16.39,0,4.673446369,1,0.386004477,0,4.412525038,0,3.890750378,0,3.876604793,1.871289347,3.876447241,0.024556017,1,2.28896203,0,4.937735081,0,2.968546848,0,4.563301923,0,1.187704419,5,0.074058786,1," 15,750,000.00 "," 1,369,565.22 ",6.875558878524151,79.95323039954631,14,517,2,1341,1,2739,0,0,20,552,5,1807,1,1526,0,0,4,1395,3,555,0,0,9,1420,20,182,11,409,20,13,0,0,0,0,4,894,0,0,0,0
9,bomiriya,7.0,per perch,Residential,9/5/2021,20.21,0,11.38398501,1,0.86658912,0,10.03671583,0,5.241090205,0,4.452395666,3.231228684,9.461703594,1.564251976,1,2.754816493,0,7.391825847,0,10.08753633,0,2.606104768,0,1.45545367,1,1.669502034,1," 430,000.00 "," 430,000.00 ",6.9403381752157705,79.9918075892717,18,3191,2,6875,3,2975,0,0,20,3332,2,2651,4,1595,1,6875,5,2651,0,0,0,0,6,2942,20,41,20,3374,20,2975,0,0,1,3202,7,3428,2,5888,0,0
11,madapatha,6.5,per perch,"Commercial, Residential",9/5/2021,22.59,0,4.208843525,1,0.409900767,0,5.773967779,0,12.55411195,0,4.731446487,5.842113383,5.025225136,3.189759435,0,3.70997153,0,5.134437985,0,3.907407861,0,4.290938801,0,3.053364406,0,3.525063347,0," 890,000.00 "," 890,000.00 ",6.76485412069085,79.9316458624533,11,176,0,0,0,0,12,170,10,145,6,330,1,343,2,588,4,366,0,0,0,0,1,728,20,34,7,143,13,425,0,0,1,238,2,144,0,0,0,0
3,kaduwela,6.5,per perch,Residential,9/5/2021,17.66,0,10.99800654,2,0.686801718,0,10.30164488,0,3.09405539,0,2.766675534,1.341754436,9.982145833,0.351838973,8,0.25650097,5,4.96489541,0,8.245114297,0,0.271561131,1,0.22296895,5,0.044349224,1," 430,000.00 "," 430,000.00 ",6.935962295552074,79.98196126470391,20,701,14,181,4,792,1,234,20,160,5,801,6,210,9,129,9,212,1,1354,0,0,13,120,20,797,20,759,20,174,0,0,1,697,11,197,2,526,1,616
2,makandana,7.0,per perch,"Commercial, Residential",9/5/2021,22.39,0,5.374540285,2,0.699164754,0,7.139995492,0,12.2326613,0,5.350999564,4.118825144,6.739824789,1.821689416,2,3.169233818,0,3.372696016,0,3.522924588,0,3.889013194,0,1.602959146,2,2.940111393,0," 899,999.00 "," 899,999.00 ",6.768949278700469,79.9493154769874,10,244,0,0,1,3343,8,4203,6,313,2,854,0,0,1,929,5,402,1,303,0,0,1,237,20,22,7,301,10,159,0,0,1,3337,1,277,0,0,0,0
